"","TEAM","need1","need2","need3","need4","need5","need6","need7"
"1","ARI","WR","OT","CB","EDGE","DL","QB","RB"
"2","ATL","TE","QB","RB","WR","OT","IOL","DL"
"3","BAL","WR","CB","EDGE","OT","DL","QB","RB"
"4","BUF","WR","RB","EDGE","LB","CB","DL","QB"
"5","CAR","DL","OT","S","CB","QB","LB","EDGE"
"6","CHI","DL","EDGE","RB","S","QB","WR","TE"
"7","CIN","CB","IOL","S","OT","LB","DL","RB"
"8","CLE","QB","OT","WR","DL","EDGE","S","IOL"
"9","DAL","RB","DL","LB","OT","S","WR","EDGE"
"10","DEN","WR","S","EDGE","LB","DL","TE","QB"
"11","DET","DL","EDGE","LB","OT","WR","QB","RB"
"12","GB","CB","LB","DL","OT","QB","RB","WR"
"13","HOU","OT","RB","DL","IOL","CB","LB","QB"
"14","IND","QB","OT","DL","RB","CB","WR","TE"
"15","JAC","LB","S","QB","RB","WR","TE","OT"
"16","KC","CB","RB","WR","LB","S","IOL","TE"
"17","LV","QB","S","OT","DL","EDGE","CB","RB"
"18","LAC","EDGE","DL","TE","IOL","QB","RB","WR"
"19","LAR","QB","CB","OT","WR","IOL","DL","RB"
"20","MIA","CB","QB","DL","WR","OT","LB","TE"
"21","MIN","CB","RB","TE","EDGE","DL","WR","S"
"22","NE","EDGE","WR","OT","IOL","LB","S","TE"
"23","NO","QB","DL","EDGE","WR","RB","TE","OT"
"24","NYG","OT","QB","WR","S","RB","TE","IOL"
"25","NYJ","QB","EDGE","DL","S","WR","RB","TE"
"26","PHI","DL","IOL","CB","S","EDGE","OT","TE"
"27","PIT","QB","WR","CB","OT","S","EDGE","IOL"
"28","SF","OT","CB","WR","DL","IOL","QB","RB"
"29","SEA","OT","EDGE","QB","CB","RB","S","LB"
"30","TB","LB","DL","CB","EDGE","RB","TE","QB"
"31","TEN","DL","S","EDGE","OT","LB","QB","RB"
"32","WAS","LB","CB","DL","RB","WR","EDGE","QB"
