Pick,Value
1,1000
2,717
3,514
4,491
5,468
6,446
7,426
8,406
9,387
10,369
11,358
12,347
13,336
14,325
15,315
16,305
17,296
18,287
19,278
20,269
21,261
22,253
23,245
24,237
25,230
26,223
27,216
28,209
29,202
30,196
31,190
32,184
33,180
34,175
35,170
36,166
37,162
38,157
39,153
40,149
41,146
42,142
43,138
44,135
45,131
46,128
47,124
48,121
49,118
50,115
51,112
52,109
53,106
54,104
55,101
56,98
57,96
58,93
59,91
60,88
61,86
62,84
63,82
64,80
65,78
66,76
67,75
68,73
69,71
70,70
71,68
72,67
73,65
74,64
75,63
76,61
77,60
78,59
79,57
80,56
81,55
82,54
83,52
84,51
85,50
86,49
87,48
88,47
89,46
90,45
91,44
92,43
93,42
94,41
95,40
96,39
97,38
98,37
99,36
100,35
101,34
102,34
103,33
104,33
105,32
106,32
107,31
108,31
109,30
110,30
111,29
112,29
113,28
114,28
115,27
116,26
117,26
118,25
119,25
120,24
121,24
122,23
123,23
124,22
125,22
126,21
127,21
128,20
129,20
130,19
131,19
132,18
133,18
134,17
135,17
136,17
137,17
138,16
139,16
140,15
141,15
142,15
143,14
144,14
145,14
146,14
147,13
148,13
149,13
150,13
151,12
152,12
153,12
154,12
155,11
156,11
157,11
158,11
159,10
160,10
161,10
162,10
163,9
164,9
165,9
166,9
167,9
168,9
169,8
170,8
171,8
172,8
173,8
174,8
175,7
176,7
177,7
178,7
179,7
180,7
181,6
182,6
183,6
184,6
185,6
186,6
187,5
188,5
189,5
190,5
191,5
192,5
193,4
194,4
195,4
196,4
197,4
198,4
199,3
200,3
201,3
202,3
203,3
204,3
205,2
206,2
207,2
208,2
209,2
210,2
211,1
212,1
213,1
214,1
215,1
216,1  
217,1  
218,1  
219,1  
220,1  
221,1  
222,1  
223,1  
224,1  
225,1  
226,1  
227,1  
228,1  
229,1  
230,1  
231,1  
232,1  
233,1  
234,1  
235,1  
236,1  
237,1  
238,1  
239,1  
240,1  
241,1  
242,1  
243,1  
244,1  
245,1  
246,1  
247,1  
248,1  
249,1  
250,1  
251,1  
252,1  
253,1  
254,1  
255,1  
256,1  
257,1
